"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","TRADEGOOD","EXP","BLN_USD","A","2020",250.8412,
"AUT","TRADEGOOD","EXP","BLN_USD","A","2020",168.7089,
"BEL","TRADEGOOD","EXP","BLN_USD","A","2020",420.5612,
"CAN","TRADEGOOD","EXP","BLN_USD","A","2020",390.9127,
"CZE","TRADEGOOD","EXP","BLN_USD","A","2020",191.0189,
"DNK","TRADEGOOD","EXP","BLN_USD","A","2020",107.3233,
"FIN","TRADEGOOD","EXP","BLN_USD","A","2020",66.12827,
"FRA","TRADEGOOD","EXP","BLN_USD","A","2020",488.1283,
"DEU","TRADEGOOD","EXP","BLN_USD","A","2020",1376.126,
"GRC","TRADEGOOD","EXP","BLN_USD","A","2020",35.28436,
"HUN","TRADEGOOD","EXP","BLN_USD","A","2020",121.4487,
"ISL","TRADEGOOD","EXP","BLN_USD","A","2020",4.638829,
"IRL","TRADEGOOD","EXP","BLN_USD","A","2020",179.5407,
"ITA","TRADEGOOD","EXP","BLN_USD","A","2020",498.8684,
"JPN","TRADEGOOD","EXP","BLN_USD","A","2020",638.4867,
"KOR","TRADEGOOD","EXP","BLN_USD","A","2020",515.066,
"LUX","TRADEGOOD","EXP","BLN_USD","A","2020",13.79014,
"MEX","TRADEGOOD","EXP","BLN_USD","A","2020",416.5072,
"NLD","TRADEGOOD","EXP","BLN_USD","A","2020",673.2419,
"NZL","TRADEGOOD","EXP","BLN_USD","A","2020",38.62177,
"NOR","TRADEGOOD","EXP","BLN_USD","A","2020",82.76705,
"POL","TRADEGOOD","EXP","BLN_USD","A","2020",274.4896,
"PRT","TRADEGOOD","EXP","BLN_USD","A","2020",61.52578,
"SVK","TRADEGOOD","EXP","BLN_USD","A","2020",86.4362,
"ESP","TRADEGOOD","EXP","BLN_USD","A","2020",307.9258,
"SWE","TRADEGOOD","EXP","BLN_USD","A","2020",155.1479,
"CHE","TRADEGOOD","EXP","BLN_USD","A","2020",239.7281,
"TUR","TRADEGOOD","EXP","BLN_USD","A","2020",168.2988,
"GBR","TRADEGOOD","EXP","BLN_USD","A","2020",376.525,
"USA","TRADEGOOD","EXP","BLN_USD","A","2020",1428.518,
"ARG","TRADEGOOD","EXP","BLN_USD","A","2020",54.884,
"BRA","TRADEGOOD","EXP","BLN_USD","A","2020",208.6026,
"CHL","TRADEGOOD","EXP","BLN_USD","A","2020",73.96538,
"CHN","TRADEGOOD","EXP","BLN_USD","A","2020",2558.431,
"COL","TRADEGOOD","EXP","BLN_USD","A","2020",31.19138,
"CRI","TRADEGOOD","EXP","BLN_USD","A","2020",12.46086,
"EST","TRADEGOOD","EXP","BLN_USD","A","2020",16.27176,
"IND","TRADEGOOD","EXP","BLN_USD","A","2020",276.1058,
"IDN","TRADEGOOD","EXP","BLN_USD","A","2020",163.1537,
"ISR","TRADEGOOD","EXP","BLN_USD","A","2020",47.47744,
"LVA","TRADEGOOD","EXP","BLN_USD","A","2020",16.27672,
"LTU","TRADEGOOD","EXP","BLN_USD","A","2020",32.53707,
"RUS","TRADEGOOD","EXP","BLN_USD","A","2020",332.2967,
"SAU","TRADEGOOD","EXP","BLN_USD","A","2020",173.8539,
"SVN","TRADEGOOD","EXP","BLN_USD","A","2020",44.51966,
"ZAF","TRADEGOOD","EXP","BLN_USD","A","2020",85.49894,
"OECD","TRADEGOOD","EXP","BLN_USD","A","2020",10051.31,
"G-7","TRADEGOOD","EXP","BLN_USD","A","2020",5197.567,
"G-20","TRADEGOOD","EXP","BLN_USD","A","2020",13477.54,
"EA19","TRADEGOOD","EXP","BLN_USD","A","2020",2423.23,
"EU27_2020","TRADEGOOD","EXP","BLN_USD","A","2020",5439.553,
