Country,BCA,BCA_NGDPD,GGR_NGDP,GGXCNL_NGDP,GGXONLB_NGDP,GGXWDG_NGDP,GGX_NGDP,LP,NGDP,NGDPD,NGDPDPC,NGDPRPC,NGDPRPPPPC,NGDP_D,NGDP_FY,NGDP_RPCH,PCPI,PCPIPCH,PPPGDP,PPPPC,PPPSH,TM_RPCH,TX_RPCH
Afghanistan,2.247,11.157,25.694,-2.243,-2.206,7.397,27.937,32.941,1547.29,20.136,611.268,39127.08,2328.76,120.05,1547.29,-2.351,120.671,5.607,80.912,2456.29,0.061,-2.925,0.534
Albania,-1.315,-8.677,25.905,-6.713,-4.621,75.927,32.619,2.878,1644.08,15.161,5268.24,280984.5,13394.46,203.32,1644.08,-3.482,108.613,1.621,40.658,14128.0,0.031,-19.535,-27.549
Algeria,-18.711,-12.911,30.684,-11.959,-11.655,52.273,42.643,43.851,18383.8,144.922,3304.87,163208.89,10746.03,256.869,18383.8,-5.1,211.18,2.415,497.03,11334.53,0.374,-18.943,-4.154
Andorra,0.422,14.634,40.485,-2.96,0.0,46.329,43.445,0.078,2.531,2.885,36973.85,30447.35,49728.24,106.557,2.531,-11.184,102.298,0.257,4.092,52451.57,0.003,0.0,0.0
Angola,0.872,1.5,20.983,-1.898,4.944,136.54,22.882,31.031,33611.36,58.125,1873.11,47219.95,6482.35,2293.82,33611.36,-5.75,431.227,22.277,212.172,6837.35,0.16,-33.037,-7.342
Antigua and Barbuda,-0.252,-18.358,20.399,-6.362,-3.797,101.477,26.761,0.098,3.7,1.37,13997.54,29919.2,17299.23,126.318,3.7,-20.192,102.109,1.058,1.786,18246.61,0.001,-34.634,-50.458
Argentina,3.093,0.795,33.471,-8.588,-6.179,102.79,42.059,45.388,27481.44,389.064,8571.94,13754.6,19680.3,4402.0,27481.44,-9.943,619.207,42.015,942.17,20758.08,0.709,-10.549,-12.898
Armenia,-0.479,-3.787,25.247,-5.403,-2.74,63.476,30.649,2.962,6181.66,12.641,4267.49,1282611.02,12631.53,162.702,6181.66,-7.395,218.396,1.226,39.466,13323.29,0.03,-31.113,-35.562
Aruba,-0.338,-12.959,22.929,-16.028,-11.011,110.139,38.957,0.109,4.672,2.61,24036.87,43246.83,32552.07,99.489,4.672,-18.585,97.686,-1.313,3.728,34334.77,0.003,0.0,0.0
Australia,32.483,2.393,35.973,-8.758,-7.854,57.243,44.73,25.639,1966.39,1357.64,52952.83,76440.88,49192.23,100.334,1966.39,-2.138,116.15,0.89,1330.29,51886.21,1.001,-13.012,-9.825
Austria,8.221,1.899,48.953,-8.045,-7.121,83.306,56.999,8.901,379.321,432.912,48636.3,39137.6,52262.89,108.886,379.321,-6.735,131.81,1.392,490.668,55125.04,0.369,-9.377,-10.759
Azerbaijan,-0.228,-0.533,33.711,-6.682,-5.848,21.327,40.392,10.067,72.578,42.693,4240.84,2846.06,13774.12,253.313,72.578,-4.199,263.348,2.824,146.259,14528.45,0.11,-9.837,-10.243
Bahrain,-3.245,-9.344,17.838,-17.86,-12.787,129.734,35.698,1.472,13.056,34.723,23585.91,8388.81,48018.45,105.716,13.056,-4.936,97.58,-2.324,74.564,50648.16,0.056,-0.702,-2.549
Bangladesh,-5.435,-1.454,8.468,-4.84,-3.001,34.177,13.308,164.689,31704.69,373.902,2270.35,160912.92,6058.06,119.637,31704.69,3.448,256.563,5.648,1052.34,6389.83,0.792,-3.395,-14.204
Barbados,-0.323,-6.902,29.9,-4.754,-0.963,147.024,34.654,0.288,9.354,4.677,16245.06,27364.57,13290.28,118.731,9.037,-13.73,197.208,2.882,4.036,14018.11,0.003,-11.743,-37.734
Belarus,-0.259,-0.423,35.175,-2.87,-1.213,47.493,38.045,9.41,149.721,61.312,6515.65,13098.22,19176.06,121.473,149.721,-0.673,869.354,5.536,190.329,20226.23,0.143,-8.941,0.815
Belgium,4.383,0.841,50.171,-9.047,-7.363,112.82,59.218,11.522,456.732,521.26,45238.68,36503.47,49018.77,108.588,456.732,-5.681,108.227,0.428,595.748,51703.26,0.448,-6.746,-6.413
Belize,-0.128,-6.334,23.936,-7.279,-5.492,104.491,31.215,0.421,4.039,2.019,4791.47,9117.62,7073.59,105.103,4.039,-13.676,100.0,0.122,3.145,7460.97,0.002,-23.069,-26.826
Benin,-0.274,-1.746,14.389,-4.682,-2.725,46.142,19.071,12.146,9008.81,15.674,1290.5,716783.16,3316.95,103.479,9008.81,3.849,104.171,3.049,42.493,3498.6,0.032,0.298,5.565
Bhutan,-0.382,-15.797,31.126,-1.692,-1.218,130.894,32.818,0.745,175.428,2.421,3247.93,91705.77,11271.18,256.668,175.428,-2.348,247.014,3.039,8.86,11888.44,0.007,-7.54,-3.488
Bolivia,-0.267,-0.724,25.254,-12.722,-11.228,77.971,37.976,11.63,253.112,36.897,3172.56,3865.26,7882.11,563.061,253.112,-8.738,104.422,0.942,96.689,8313.77,0.073,-23.939,-18.749
Bosnia and Herzegovina,-0.752,-3.768,41.276,-4.68,-3.941,36.533,45.956,3.487,34.255,19.951,5721.46,9017.42,13750.52,108.94,34.255,-3.119,100.117,-1.052,50.574,14503.56,0.038,-13.308,-15.75
Botswana,-1.62,-10.848,26.122,-11.056,-10.396,19.032,37.178,2.352,171.042,14.93,6348.81,71323.39,14667.62,101.977,177.104,-8.726,346.538,1.89,36.382,15470.88,0.027,5.155,-18.112
Brazil,-24.492,-1.691,29.535,-13.332,-9.149,98.682,42.867,211.756,7467.62,1448.55,6840.66,5466.03,14117.32,645.17,7467.62,-3.879,35457162626753.9,3.212,3153.14,14890.45,2.372,-8.64,-1.367
Brunei Darussalam,0.514,4.279,17.462,-15.766,-15.766,2.857,33.228,0.454,16.564,12.006,26467.8,42581.6,59990.65,85.759,16.564,1.134,100.948,1.94,28.702,63276.0,0.022,-2.676,28.74
Bulgaria,-0.047,-0.068,35.037,-2.944,-2.82,23.304,37.981,6.917,119.951,69.995,10119.91,14010.95,22506.52,123.779,119.951,-4.387,106.274,1.219,164.192,23739.08,0.124,-4.966,-10.458
Burkina Faso,0.744,4.283,19.776,-5.696,-4.289,46.37,25.472,20.912,9988.37,17.378,831.013,432855.25,2157.62,110.344,9988.37,1.93,104.153,1.885,47.592,2275.78,0.036,-2.286,-2.713
Burundi,-0.315,-10.212,22.336,-6.585,-3.635,65.965,28.921,11.875,5910.57,3.086,259.906,150417.99,732.311,330.901,5910.57,0.335,138.294,7.305,9.172,772.416,0.007,-17.818,-15.366
Cabo Verde,-0.281,-15.012,24.691,-9.088,-6.523,145.126,33.779,0.557,180.742,1.871,3359.76,282242.45,6615.62,115.009,180.742,-14.783,101.718,0.605,3.885,6977.93,0.003,-7.437,-53.342
Cambodia,-2.182,-8.66,24.475,-3.479,-3.111,35.165,27.954,15.678,103511.61,25.192,1606.81,3495791.39,4470.67,188.866,103511.61,-3.13,182.645,2.938,73.93,4715.5,0.056,-3.235,-1.083
Cameroon,-1.517,-3.713,13.392,-3.188,-2.347,44.858,16.58,26.546,23486.47,40.863,1539.35,845387.41,3668.59,104.656,23486.47,0.539,261.369,2.451,102.719,3869.5,0.077,-15.625,-6.972
Canada,-29.389,-1.786,41.647,-11.36,-10.938,117.755,53.007,37.995,2206.76,1645.42,43306.64,52623.25,46405.46,110.371,2206.76,-5.233,136.958,0.717,1859.72,48946.83,1.399,-10.839,-9.71
Central African Republic,-0.206,-8.636,21.75,-3.361,-3.052,43.422,25.111,4.83,1372.81,2.389,494.518,159461.39,937.456,178.242,1372.81,0.959,211.235,0.881,4.776,988.795,0.004,0.23,-0.277
Chad,-0.81,-7.554,21.154,2.065,3.044,54.218,19.088,16.426,6165.75,10.728,653.088,324815.95,1515.06,115.563,6165.75,-2.157,109.983,4.464,26.249,1598.04,0.02,-2.739,2.982
Chile,-4.265,-1.69,22.143,-7.143,-6.619,32.6,29.285,19.458,199899.51,252.346,12968.52,9212723.08,22052.49,111.511,199899.51,-6.068,105.37,3.044,452.604,23260.18,0.34,-12.815,-1.204
China,248.838,1.674,25.685,-9.718,-8.761,68.063,35.403,1412.12,102562.84,14862.56,10525.0,64766.38,16226.1,112.142,102562.84,2.244,111.447,2.392,24168.03,17114.71,18.18,-0.406,2.61
Colombia,-9.207,-3.405,26.584,-6.976,-4.359,65.658,33.56,50.372,998719.0,270.415,5368.32,16261178.93,13672.29,121.927,998719.0,-7.048,105.142,2.524,726.423,14421.04,0.546,-20.501,-22.702
Comoros,-0.036,-2.986,18.251,-0.512,-0.266,24.016,18.763,0.897,524.947,1.218,1357.29,466321.18,2890.88,125.468,524.947,-0.342,177.132,0.8,2.736,3049.2,0.002,6.539,-34.677
Costa Rica,-0.639,-1.028,13.966,-8.442,-3.764,67.167,22.408,5.128,36356.27,62.144,12117.61,6752952.56,19249.22,104.979,36356.27,-4.051,99.301,0.725,104.124,20303.4,0.078,-10.19,-10.939
Croatia,-0.064,-0.113,47.213,-7.324,-5.579,87.338,54.537,4.048,378.343,57.203,14131.15,89043.97,27052.72,104.964,378.343,-8.102,102.383,0.106,115.507,28534.24,0.087,-12.26,-22.726
